,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SEDG260116C00060000,2023-10-24 18:16:37+00:00,60.0,43.92,38.4,40.1,0.0,0.0,4.0,4,0.7811911529541016,True,REGULAR,USD
1,SEDG260116C00065000,2023-10-25 14:12:05+00:00,65.0,36.0,36.4,39.0,0.0,0.0,1.0,1,0.7858908129882812,True,REGULAR,USD
2,SEDG260116C00070000,2023-10-20 13:43:21+00:00,70.0,36.45,34.4,35.8,0.0,0.0,1.0,16,0.7584863018798829,True,REGULAR,USD
3,SEDG260116C00075000,2023-10-25 13:53:43+00:00,75.0,34.0,32.5,34.5,0.0,0.0,1.0,2,0.7564111273193359,True,REGULAR,USD
4,SEDG260116C00080000,2023-10-27 19:22:27+00:00,80.0,31.1,30.7,32.8,-3.999998,-11.396007,2.0,9,0.748171463623047,False,REGULAR,USD
5,SEDG260116C00085000,2023-10-27 18:57:42+00:00,85.0,29.52,29.0,30.8,-4.4799995,-13.17647,15.0,13,0.7357509335327149,False,REGULAR,USD
6,SEDG260116C00090000,2023-10-25 19:48:34+00:00,90.0,30.1,27.3,28.9,0.0,0.0,3.0,5,0.723086265258789,False,REGULAR,USD
7,SEDG260116C00100000,2023-10-25 18:54:39+00:00,100.0,24.7,24.3,26.8,-2.7799988,-10.116444,4.0,10,0.717776259765625,False,REGULAR,USD
8,SEDG260116C00105000,2023-10-26 14:37:37+00:00,105.0,26.2,23.0,25.8,0.0,0.0,3.0,6,0.7156400506591796,False,REGULAR,USD
9,SEDG260116C00110000,2023-10-20 13:34:43+00:00,110.0,21.0,21.6,24.3,0.0,0.0,1.0,3,0.70547779876709,False,REGULAR,USD
10,SEDG260116C00115000,2023-10-19 19:39:00+00:00,115.0,45.5,20.5,23.3,0.0,0.0,1.0,2,0.7030058996582031,False,REGULAR,USD
11,SEDG260116C00120000,2023-10-27 15:29:08+00:00,120.0,20.5,19.2,22.0,-4.5,-18.0,3.0,9,0.6939117523193359,False,REGULAR,USD
12,SEDG260116C00125000,2023-10-20 13:43:21+00:00,125.0,19.75,18.2,20.3,0.0,0.0,1.0,3,0.6826813958740237,False,REGULAR,USD
13,SEDG260116C00130000,2023-09-19 15:47:29+00:00,130.0,56.5,38.8,42.2,0.0,0.0,,1,1.195041866607666,False,REGULAR,USD
14,SEDG260116C00135000,2023-10-19 17:42:38+00:00,135.0,39.0,16.2,18.8,0.0,0.0,2.0,5,0.6778901840209962,False,REGULAR,USD
15,SEDG260116C00140000,2023-10-20 14:26:39+00:00,140.0,19.2,15.3,17.8,0.0,0.0,4.0,2,0.6724581094360352,False,REGULAR,USD
16,SEDG260116C00145000,2023-10-19 16:36:48+00:00,145.0,36.5,14.4,16.8,0.0,0.0,8.0,10,0.6661410339355471,False,REGULAR,USD
17,SEDG260116C00150000,2023-10-27 14:08:21+00:00,150.0,15.4,12.6,18.6,-2.3000011,-12.994356,6.0,23,0.6799348413085939,False,REGULAR,USD
18,SEDG260116C00155000,2023-10-06 15:43:39+00:00,155.0,37.85,12.9,14.6,0.0,0.0,1.0,1,0.6519199847412109,False,REGULAR,USD
19,SEDG260116C00160000,2023-10-27 19:54:09+00:00,160.0,13.0,12.2,15.0,-23.599998,-64.48087,1.0,10,0.6610446493530274,False,REGULAR,USD
20,SEDG260116C00165000,2023-10-25 14:04:55+00:00,165.0,12.0,11.6,13.4,0.0,0.0,10.0,30,0.6480137738037108,False,REGULAR,USD
21,SEDG260116C00170000,2023-10-19 16:32:13+00:00,170.0,29.9,11.0,12.4,0.0,0.0,20.0,5,0.6409948010253907,False,REGULAR,USD
22,SEDG260116C00175000,2023-10-25 13:46:34+00:00,175.0,11.89,10.4,12.0,0.0,0.0,10.0,34,0.6401708346557617,False,REGULAR,USD
23,SEDG260116C00180000,2023-10-12 17:47:31+00:00,180.0,29.39,9.9,12.3,0.0,0.0,1.0,1,0.6482579119873046,False,REGULAR,USD
24,SEDG260116C00185000,2023-10-27 15:14:41+00:00,185.0,10.2,9.5,12.6,-23.05,-69.32331,2.0,18,0.6571079211425781,False,REGULAR,USD
25,SEDG260116C00190000,2023-10-25 14:39:34+00:00,190.0,9.35,7.3,12.9,0.0,0.0,1.0,2,0.643985493774414,False,REGULAR,USD
26,SEDG260116C00195000,2023-10-20 13:33:18+00:00,195.0,9.99,8.6,10.6,0.0,0.0,20.0,18,0.6409948010253907,False,REGULAR,USD
27,SEDG260116C00200000,2023-10-20 13:32:08+00:00,200.0,8.0,8.1,9.7,0.0,0.0,9.0,34,0.6324499645996093,False,REGULAR,USD
28,SEDG260116C00210000,2023-10-25 13:35:19+00:00,210.0,9.07,7.4,8.5,0.0,0.0,2.0,4,0.6247596118164063,False,REGULAR,USD
29,SEDG260116C00220000,2023-10-27 19:41:05+00:00,220.0,7.3,6.8,7.8,-1.1799994,-13.915088,6.0,35,0.6229896099853516,False,REGULAR,USD
