,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SEDG231117P00050000,2023-10-27 14:55:20+00:00,50.0,0.65,0.1,0.55,0.41999996,182.60867,1,154,1.0605515722656251,False,REGULAR,USD
1,SEDG231117P00055000,2023-10-27 17:45:13+00:00,55.0,0.55,0.55,0.7,0.030000031,5.7692366,114,58,1.0009815576171874,False,REGULAR,USD
2,SEDG231117P00060000,2023-10-27 15:16:31+00:00,60.0,1.05,1.1,1.25,0.32999992,45.83332,32,870,0.9565434033203124,False,REGULAR,USD
3,SEDG231117P00065000,2023-10-27 19:59:37+00:00,65.0,2.07,2.0,2.15,0.8299999,66.93548,201,1067,0.9169930175781251,False,REGULAR,USD
4,SEDG231117P00070000,2023-10-27 19:58:56+00:00,70.0,3.58,3.4,3.6,1.5,72.11539,170,689,0.8911143701171874,False,REGULAR,USD
5,SEDG231117P00075000,2023-10-27 18:53:28+00:00,75.0,5.0,5.3,5.6,1.2,31.578949,15,774,0.8608412353515625,False,REGULAR,USD
6,SEDG231117P00080000,2023-10-27 19:59:36+00:00,80.0,7.99,7.9,8.1,2.79,53.653847,209,1152,0.8317887915039062,True,REGULAR,USD
7,SEDG231117P00085000,2023-10-27 19:58:30+00:00,85.0,11.25,11.0,11.3,2.9499998,35.542168,5,306,0.8034687622070311,True,REGULAR,USD
8,SEDG231117P00090000,2023-10-27 13:55:21+00:00,90.0,13.5,14.7,15.1,0.9200001,7.313196,5,185,0.7851583984375,True,REGULAR,USD
9,SEDG231117P00095000,2023-10-13 13:57:32+00:00,95.0,2.2,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
10,SEDG231117P00100000,2023-10-27 14:11:24+00:00,100.0,22.59,23.0,24.3,4.09,22.108109,3,2461,0.773439765625,True,REGULAR,USD
11,SEDG231117P00105000,2023-10-25 15:40:23+00:00,105.0,25.85,27.8,29.1,0.0,0.0,16,692,0.804689453125,True,REGULAR,USD
12,SEDG231117P00110000,2023-10-27 19:41:54+00:00,110.0,33.45,32.8,34.0,2.4500008,7.903228,2,235,0.8730481445312499,True,REGULAR,USD
13,SEDG231117P00115000,2023-10-27 19:41:54+00:00,115.0,38.25,37.3,39.0,6.75,21.428572,2,118,0.8007832421875,True,REGULAR,USD
14,SEDG231117P00120000,2023-10-27 13:36:24+00:00,120.0,41.61,42.7,44.2,2.8600006,7.3806467,6,456,1.056645341796875,True,REGULAR,USD
15,SEDG231117P00125000,2023-10-25 19:47:20+00:00,125.0,43.93,47.0,48.9,0.0,0.0,6619,877,1.3066440917968747,True,REGULAR,USD
16,SEDG231117P00130000,2023-10-26 15:10:56+00:00,130.0,46.0,52.3,54.4,0.0,0.0,1,736,1.1464886425781249,True,REGULAR,USD
17,SEDG231117P00135000,2023-10-27 18:58:51+00:00,135.0,56.7,57.0,58.5,6.700001,13.400002,17,10,1.291019169921875,True,REGULAR,USD
18,SEDG231117P00140000,2023-10-26 19:05:23+00:00,140.0,54.2,62.2,63.7,0.0,0.0,17,10,1.4453152734375,True,REGULAR,USD
19,SEDG231117P00145000,2023-10-25 19:14:34+00:00,145.0,63.8,67.4,68.6,0.0,0.0,85,0,1.46484642578125,True,REGULAR,USD
20,SEDG231117P00150000,2023-10-27 17:02:57+00:00,150.0,72.0,71.6,73.9,4.699997,6.9836507,6,0,1.6494158154296876,True,REGULAR,USD
21,SEDG231117P00155000,2023-10-20 19:05:25+00:00,155.0,72.4,76.5,78.7,0.0,0.0,480,0,1.6264667114257811,True,REGULAR,USD
22,SEDG231117P00160000,2023-10-24 15:14:54+00:00,160.0,75.1,79.8,86.4,0.0,0.0,1,0,1.2421912890624998,True,REGULAR,USD
23,SEDG231117P00165000,2023-10-20 14:05:43+00:00,165.0,80.99,85.5,88.9,0.0,0.0,3,0,1.8203133984375,True,REGULAR,USD
24,SEDG231117P00170000,2023-10-20 15:09:15+00:00,170.0,90.0,90.9,95.8,0.0,0.0,1,0,1.5869161279296873,True,REGULAR,USD
25,SEDG231117P00175000,2023-10-12 13:30:02+00:00,175.0,49.48,97.1,98.7,0.0,0.0,1,0,1.834961762695312,True,REGULAR,USD
26,SEDG231117P00180000,2023-10-20 19:05:25+00:00,180.0,97.0,100.8,103.9,0.0,0.0,176,0,1.9716798291015625,True,REGULAR,USD
27,SEDG231117P00185000,2023-10-25 16:14:54+00:00,185.0,105.7,106.4,108.6,0.0,0.0,1,0,1.876953740234375,True,REGULAR,USD
28,SEDG231117P00195000,2023-10-20 18:10:18+00:00,195.0,112.6,117.5,119.5,0.0,0.0,2,0,1.9042973535156251,True,REGULAR,USD
29,SEDG231117P00200000,2023-10-23 14:59:20+00:00,200.0,117.1,121.8,126.3,0.0,0.0,1,0,2.2128950927734365,True,REGULAR,USD
30,SEDG231117P00210000,2023-10-25 18:04:55+00:00,210.0,129.3,131.8,135.2,0.0,0.0,1,0,2.020512761230469,True,REGULAR,USD
31,SEDG231117P00220000,2023-10-20 19:16:56+00:00,220.0,137.7,142.5,146.1,0.0,0.0,1,0,2.470218668212891,True,REGULAR,USD
